model,degradation,level,accuracy
ResNet-18,baseline,0.0,0.6898
ResNet-18,gaussian_noise,0.02,0.6627
ResNet-18,gaussian_noise,0.05,0.522
ResNet-18,gaussian_noise,0.1,0.3246
ResNet-18,gaussian_blur,3.0,0.6394
ResNet-18,gaussian_blur,5.0,0.4464
ResNet-18,gaussian_blur,7.0,0.293
ResNet-18,darken,0.8,0.7008
ResNet-18,darken,0.6,0.6944
ResNet-18,darken,0.4,0.6572
ResNet-18,contrast,0.8,0.6983
ResNet-18,contrast,0.6,0.6652
ResNet-18,contrast,0.4,0.5179
ResNet-18,jpeg,50.0,0.6303
ResNet-18,jpeg,30.0,0.6093
ResNet-18,jpeg,10.0,0.4503
ResNet-18,motion_blur,3.0,0.6393
ResNet-18,motion_blur,5.0,0.3686
ResNet-18,motion_blur,7.0,0.2465
MobileNet-V2,baseline,0.0,0.825
MobileNet-V2,gaussian_noise,0.02,0.7791
MobileNet-V2,gaussian_noise,0.05,0.6199
MobileNet-V2,gaussian_noise,0.1,0.4409
MobileNet-V2,gaussian_blur,3.0,0.6176
MobileNet-V2,gaussian_blur,5.0,0.468
MobileNet-V2,gaussian_blur,7.0,0.3416
MobileNet-V2,darken,0.8,0.8136
MobileNet-V2,darken,0.6,0.792
MobileNet-V2,darken,0.4,0.7354
MobileNet-V2,contrast,0.8,0.8138
MobileNet-V2,contrast,0.6,0.7717
MobileNet-V2,contrast,0.4,0.6606
MobileNet-V2,jpeg,50.0,0.7282
MobileNet-V2,jpeg,30.0,0.6833
MobileNet-V2,jpeg,10.0,0.4897
MobileNet-V2,motion_blur,3.0,0.6663
MobileNet-V2,motion_blur,5.0,0.5321
MobileNet-V2,motion_blur,7.0,0.4234
