degradation,level,accuracy,drop_abs,drop_rel_pct
baseline,0.0,0.6898,0.0,0.0
darken,0.4,0.6572,0.03259999999999996,4.726007538416927
darken,0.6,0.6944,-0.0046000000000000485,-0.6668599594085313
darken,0.8,0.7008,-0.01100000000000001,-1.5946651203247333
gaussian_blur,3.0,0.6394,0.0504,7.3064656422151355
gaussian_blur,5.0,0.4464,0.24339999999999995,35.28559002609452
gaussian_blur,7.0,0.293,0.3968,57.523919976804876
gaussian_noise,0.02,0.6631,0.026699999999999946,3.8706871556972957
gaussian_noise,0.05,0.5229,0.16689999999999994,24.195418962017968
gaussian_noise,0.1,0.3234,0.36639999999999995,53.11684546245288
